case_id,activity,timestamp,resource
CASE-0001,Submitted,2025-01-06 07:37:00,Kevin Nguyen
CASE-0001,Reviewed,2025-01-06 10:03:56,Tom Henderson
CASE-0001,Sent Back for Correction,2025-01-06 11:57:09,Marcus Chen
CASE-0001,Reviewed,2025-01-06 18:15:35,Rachel Goldman
CASE-0001,Approved,2025-01-07 21:11:45,Linda Park
CASE-0001,Completed,2025-01-08 01:37:17,Linda Park
CASE-0002,Submitted,2025-01-06 15:43:00,James Ortega
CASE-0002,Reviewed,2025-01-06 17:40:03,Aisha Patel
CASE-0002,Approved,2025-01-08 09:33:38,Robert Dawson
CASE-0002,Completed,2025-01-08 11:54:51,Linda Park
CASE-0003,Submitted,2025-01-08 10:07:00,James Ortega
CASE-0003,Reviewed,2025-01-08 16:16:16,Rachel Goldman
CASE-0003,Approved,2025-01-09 13:07:37,Linda Park
CASE-0003,Completed,2025-01-09 17:06:30,Robert Dawson
CASE-0004,Submitted,2025-01-06 15:00:00,Sarah Mitchell
CASE-0004,Reviewed,2025-01-06 20:27:09,Tom Henderson
CASE-0004,Approved,2025-01-08 08:45:43,Linda Park
CASE-0004,Completed,2025-01-08 11:10:21,Robert Dawson
CASE-0005,Submitted,2025-01-06 13:12:00,Priya Sharma
CASE-0005,Reviewed,2025-01-06 17:06:36,Rachel Goldman
CASE-0005,Approved,2025-01-07 11:58:08,Diana Vasquez
CASE-0005,Completed,2025-01-07 16:03:14,Linda Park
CASE-0006,Submitted,2025-01-13 08:05:00,Priya Sharma
CASE-0006,Reviewed,2025-01-13 10:02:47,Tom Henderson
CASE-0006,Approved,2025-01-14 16:54:04,Robert Dawson
CASE-0006,Completed,2025-01-14 18:19:21,Diana Vasquez
CASE-0007,Submitted,2025-01-14 09:31:00,Sarah Mitchell
CASE-0007,Reviewed,2025-01-14 14:39:42,Rachel Goldman
CASE-0007,Approved,2025-01-15 14:48:27,Linda Park
CASE-0007,Completed,2025-01-15 18:50:42,Robert Dawson
CASE-0008,Submitted,2025-01-06 13:41:00,James Ortega
CASE-0008,Reviewed,2025-01-06 19:04:02,Aisha Patel
CASE-0008,Approved,2025-01-07 19:47:09,Diana Vasquez
CASE-0008,Completed,2025-01-07 22:45:05,Linda Park
CASE-0009,Submitted,2025-01-15 10:03:00,Kevin Nguyen
CASE-0009,Reviewed,2025-01-15 15:30:47,Rachel Goldman
CASE-0009,Approved,2025-01-17 00:40:39,Linda Park
CASE-0009,Completed,2025-01-17 05:20:24,Diana Vasquez
CASE-0010,Submitted,2025-01-06 13:08:00,Sarah Mitchell
CASE-0010,Reviewed,2025-01-06 19:08:48,Rachel Goldman
CASE-0010,Approved,2025-01-07 17:15:13,Robert Dawson
CASE-0010,Completed,2025-01-07 22:04:25,Linda Park
CASE-0011,Submitted,2025-01-14 14:13:00,Priya Sharma
CASE-0011,Reviewed,2025-01-14 16:35:35,Marcus Chen
CASE-0011,Approved,2025-01-15 16:41:06,Robert Dawson
CASE-0011,Completed,2025-01-15 20:19:13,Linda Park
CASE-0012,Submitted,2025-01-06 11:02:00,James Ortega
CASE-0012,Reviewed,2025-01-06 15:35:47,Rachel Goldman
CASE-0012,Approved,2025-01-08 03:48:27,Christopher Hall
CASE-0012,Completed,2025-01-08 05:44:09,Linda Park
CASE-0013,Submitted,2025-01-06 14:20:00,Kevin Nguyen
CASE-0013,Reviewed,2025-01-06 16:27:58,Rachel Goldman
CASE-0013,Approved,2025-01-08 05:35:20,Robert Dawson
CASE-0013,Completed,2025-01-08 08:14:36,Robert Dawson
CASE-0014,Submitted,2025-01-06 16:42:00,Priya Sharma
CASE-0014,Reviewed,2025-01-06 19:38:02,Marcus Chen
CASE-0014,Approved,2025-01-08 11:55:24,Robert Dawson
CASE-0014,Completed,2025-01-08 15:29:34,Linda Park
CASE-0015,Submitted,2025-01-07 10:35:00,Priya Sharma
CASE-0015,Reviewed,2025-01-07 13:20:44,Rachel Goldman
CASE-0015,Approved,2025-01-08 18:32:09,Christopher Hall
CASE-0015,Completed,2025-01-08 22:39:47,Diana Vasquez
CASE-0016,Submitted,2025-01-15 10:48:00,James Ortega
CASE-0016,Reviewed,2025-01-15 16:49:34,Tom Henderson
CASE-0016,Approved,2025-01-17 02:31:49,Diana Vasquez
CASE-0016,Completed,2025-01-17 04:11:56,Linda Park
CASE-0017,Submitted,2025-01-06 14:18:00,James Ortega
CASE-0017,Reviewed,2025-01-06 20:15:25,Marcus Chen
CASE-0017,Approved,2025-01-08 02:58:22,Diana Vasquez
CASE-0017,Completed,2025-01-08 05:10:55,Robert Dawson
CASE-0018,Submitted,2025-01-06 13:43:00,James Ortega
CASE-0018,Reviewed,2025-01-06 19:37:23,Rachel Goldman
CASE-0018,Approved,2025-01-07 20:13:05,Linda Park
CASE-0018,Completed,2025-01-07 22:56:41,Linda Park
CASE-0019,Submitted,2025-01-06 11:49:00,Kevin Nguyen
CASE-0019,Reviewed,2025-01-06 15:43:58,Rachel Goldman
CASE-0019,Approved,2025-01-07 12:06:26,Linda Park
CASE-0019,Completed,2025-01-07 15:31:39,Linda Park
CASE-0020,Submitted,2025-01-07 10:22:00,Sarah Mitchell
CASE-0020,Reviewed,2025-01-07 14:15:08,Marcus Chen
CASE-0020,Approved,2025-01-08 11:44:09,Diana Vasquez
CASE-0020,Completed,2025-01-08 15:36:01,Christopher Hall
CASE-0021,Submitted,2025-01-06 12:55:00,Sarah Mitchell
CASE-0021,Reviewed,2025-01-06 17:00:31,Rachel Goldman
CASE-0021,Approved,2025-01-07 12:38:18,Robert Dawson
CASE-0021,Completed,2025-01-07 14:11:43,Robert Dawson
CASE-0022,Submitted,2025-01-06 16:29:00,James Ortega
CASE-0022,Reviewed,2025-01-06 19:52:20,Rachel Goldman
CASE-0022,Approved,2025-01-07 18:46:08,Christopher Hall
CASE-0022,Completed,2025-01-07 21:38:32,Robert Dawson
CASE-0023,Submitted,2025-01-06 11:25:00,James Ortega
CASE-0023,Reviewed,2025-01-06 15:10:57,Marcus Chen
CASE-0023,Approved,2025-01-07 10:30:06,Linda Park
CASE-0023,Completed,2025-01-07 14:36:05,Robert Dawson
CASE-0024,Submitted,2025-01-06 10:02:00,James Ortega
CASE-0024,Reviewed,2025-01-06 15:47:15,Marcus Chen
CASE-0024,Approved,2025-01-07 14:46:10,Robert Dawson
CASE-0024,Completed,2025-01-07 19:33:41,Robert Dawson
CASE-0025,Submitted,2025-01-15 17:37:00,Priya Sharma
CASE-0025,Reviewed,2025-01-15 19:55:28,Marcus Chen
CASE-0025,Approved,2025-01-16 20:08:09,Robert Dawson
CASE-0025,Completed,2025-01-16 23:02:24,Robert Dawson
CASE-0026,Submitted,2025-01-06 11:37:00,Sarah Mitchell
CASE-0026,Reviewed,2025-01-06 17:43:39,Marcus Chen
CASE-0026,Sent Back for Correction,2025-01-06 20:27:28,Aisha Patel
CASE-0026,Reviewed,2025-01-07 00:16:43,Marcus Chen
CASE-0026,Approved,2025-01-07 18:31:11,Linda Park
CASE-0026,Completed,2025-01-07 22:04:21,Robert Dawson
CASE-0027,Submitted,2025-01-06 10:23:00,Sarah Mitchell
CASE-0027,Reviewed,2025-01-06 13:04:39,Rachel Goldman
CASE-0027,Approved,2025-01-08 05:17:12,Diana Vasquez
CASE-0027,Completed,2025-01-08 09:25:36,Robert Dawson
CASE-0028,Submitted,2025-01-14 13:25:00,Priya Sharma
CASE-0028,Reviewed,2025-01-14 17:04:56,Rachel Goldman
CASE-0028,Sent Back for Correction,2025-01-14 19:56:51,Marcus Chen
CASE-0028,Reviewed,2025-01-15 01:00:33,Marcus Chen
CASE-0028,Approved,2025-01-15 23:26:14,Robert Dawson
CASE-0028,Completed,2025-01-16 03:42:07,Robert Dawson
CASE-0029,Submitted,2025-01-13 10:49:00,Priya Sharma
