case_id,activity,timestamp,resource
OPEN-0001,Submitted,2025-02-12 15:55:00,Frank Chen
OPEN-0001,Reviewed,2025-02-12 18:00:01,Frank Chen
OPEN-0002,Submitted,2025-02-11 14:05:00,Frank Chen
OPEN-0003,Submitted,2025-02-14 10:30:00,Carol Lee
OPEN-0003,Reviewed,2025-02-14 13:14:37,Eva Martinez
OPEN-0004,Submitted,2025-02-10 15:13:00,Carol Lee
OPEN-0004,Reviewed,2025-02-10 20:27:29,Alice Johnson
OPEN-0005,Submitted,2025-02-13 17:57:00,Bob Smith
OPEN-0005,Reviewed,2025-02-13 21:23:19,Carol Lee
OPEN-0006,Submitted,2025-02-11 12:58:00,Frank Chen
OPEN-0006,Reviewed,2025-02-11 15:01:35,David Kim
OPEN-0007,Submitted,2025-02-14 11:32:00,Frank Chen
OPEN-0007,Reviewed,2025-02-14 13:17:14,Alice Johnson
OPEN-0008,Submitted,2025-02-11 16:43:00,David Kim
OPEN-0008,Reviewed,2025-02-11 18:15:28,Frank Chen
OPEN-0009,Submitted,2025-02-10 11:19:00,Eva Martinez
OPEN-0009,Reviewed,2025-02-10 12:30:21,Bob Smith
OPEN-0010,Submitted,2025-02-14 15:12:00,Alice Johnson
OPEN-0010,Reviewed,2025-02-14 18:59:42,Carol Lee
OPEN-0011,Submitted,2025-02-14 15:52:00,Bob Smith
OPEN-0012,Submitted,2025-02-12 16:59:00,Alice Johnson
OPEN-0013,Submitted,2025-02-11 11:38:00,David Kim
OPEN-0013,Reviewed,2025-02-11 13:10:50,Bob Smith
OPEN-0014,Submitted,2025-02-12 11:11:00,David Kim
OPEN-0015,Submitted,2025-02-11 12:56:00,Eva Martinez
OPEN-0016,Submitted,2025-02-12 16:51:00,Bob Smith
OPEN-0017,Submitted,2025-02-12 10:54:00,Carol Lee
OPEN-0018,Submitted,2025-02-11 10:32:00,Carol Lee
OPEN-0019,Submitted,2025-02-10 09:21:00,Bob Smith
OPEN-0019,Reviewed,2025-02-10 12:01:28,David Kim
OPEN-0020,Submitted,2025-02-13 15:52:00,Carol Lee
OPEN-0020,Reviewed,2025-02-13 19:05:14,Alice Johnson
